doc_id,volume,state_variation,version_date,source_file,path,anchor_id,parent_anchor_id,order_in_parent,para_start,para_end,unit_label,unit_type,compliance_weight,title,text,text_html,defined_term,contains_shall,contains_must,external_refs,internal_refs,satisfies_pr_ids,related_unit_ids,asset_type,asset_id,asset_caption,asset_alt_text,page_start,page_end,bbox_json,extract_confidence,warnings,ncc_pathway,normative_status,conditionality,heading_context,raw_title,raw_text,applies_state,variation_action,affected_unit_label,affected_subparts,affects_anchor_id,table_grid_json,table_key_values,base_unit_label,affected_subclause,conditions_text,exceptions_text,requirements_list,standards_referenced,notes_quality,discipline,table_purpose,table_id,table_label,applies_to_volume,applies_to_class,volume_hierarchy,dataset_coverage,scope_conditions,formula_json,constant_value,constant_name,pathway_alternative_to,verification_method_for,section_code,part_code,indexable
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A1,"",0,41,41,A1,OTHER,"",Part A1                            Interpreting the NCC 	29,Part A1                            Interpreting the NCC 	29,Part A1                            Interpreting the NCC 	29,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A1                            Interpreting the NCC 	29,Part A1                            Interpreting the NCC 	29,"","","","","","","",A1,"","","","","","",Governing,"","","",V3,"","","","","","","","","",A,A1,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A2,"",1,42,42,A2,OTHER,"",Part A2                           Compliance with the NCC	32,Part A2                           Compliance with the NCC	32,Part A2                           Compliance with the NCC	32,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A2                           Compliance with the NCC	32,Part A2                           Compliance with the NCC	32,"","","","","","","",A2,"","","","","","",Governing,"","","",V3,"","","","","","","","","",A,A2,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A3,"",2,43,43,A3,OTHER,"",Part A3                          Application of the NCC in States and Territories	36,Part A3                          Application of the NCC in States and Territories	36,Part A3                          Application of the NCC in States and Territories	36,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A3                          Application of the NCC in States and Territories	36,Part A3                          Application of the NCC in States and Territories	36,"","","","","","","",A3,"","","","","","",Governing,"","","",V3,"","","","","","","","","",A,A3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A4,"",3,44,44,A4,OTHER,"",Part A4                           Referenced documents 	37,Part A4                           Referenced documents 	37,Part A4                           Referenced documents 	37,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A4                           Referenced documents 	37,Part A4                           Referenced documents 	37,"","","","","","","",A4,"","","","","","","","","","",V3,"","","","","","","","","",A,A4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A5,"",4,45,45,A5,OTHER,"",Part A5                           Documentation of design and construction 	39,Part A5                           Documentation of design and construction 	39,Part A5                           Documentation of design and construction 	39,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A5                           Documentation of design and construction 	39,Part A5                           Documentation of design and construction 	39,"","","","","","","",A5,"","","","","","","","","","",V3,"","","","","","","","","",A,A5,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A6,"",5,46,46,A6,OTHER,"",Part A6                           Building classification 	46,Part A6                           Building classification 	46,Part A6                           Building classification 	46,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A6                           Building classification 	46,Part A6                           Building classification 	46,"","","","","","","",A6,"","","","","","","","","","",V3,"","","","","","","","","",A,A6,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::A7,"",6,47,51,A7,OTHER,"",Part A7                           United buildings	58,Part A7                           United buildings	58  Specification 1              Fire-resistance of building elements	60  Specification 2              Descriptions of elements referred to in Specification 1 	66  Specification 3              Fire hazard properties 	72  Section B         Water services,Part A7                           United buildings	58  Specification 1              Fire-resistance of building elements	60  Specification 2              Descriptions of elements referred to in Specification 1 	66  Specification 3              Fire hazard properties 	72  Section B         Water services,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part A7                           United buildings	58,Part A7                           United buildings	58  Specification 1              Fire-resistance of building elements	60  Specification 2              Descriptions of elements referred to in Specification 1 	66  Specification 3              Fire hazard properties 	72  Section B         Water services,"","","","","","","",A7,"","","","","","","","","","",V3,"","","","","","","","","",A,A7,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B1,"",7,52,52,B1,OTHER,"",Part B1                            Cold water services	77,Part B1                            Cold water services	77,Part B1                            Cold water services	77,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B1                            Cold water services	77,Part B1                            Cold water services	77,"","","","","","","",B1,"","","","","","",ColdWater,"","","",V3,"","","","","","","","","",B,B1,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B2,"",8,53,53,B2,OTHER,"",Part B2                           Heated water services 	83,Part B2                           Heated water services 	83,Part B2                           Heated water services 	83,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B2                           Heated water services 	83,Part B2                           Heated water services 	83,"","","","","","","",B2,"","","","","","",ColdWater,"","","",V3,"","","","","","","","","",B,B2,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B3,"",9,54,54,B3,OTHER,"",Part B3                           Non-drinking water services 	93,Part B3                           Non-drinking water services 	93,Part B3                           Non-drinking water services 	93,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B3                           Non-drinking water services 	93,Part B3                           Non-drinking water services 	93,"","","","","","","",B3,"","","","","","","","","","",V3,"","","","","","","","","",B,B3,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B4,"",10,55,55,B4,OTHER,"",Part B4                           Fire-fighting water services 	98,Part B4                           Fire-fighting water services 	98,Part B4                           Fire-fighting water services 	98,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B4                           Fire-fighting water services 	98,Part B4                           Fire-fighting water services 	98,"","","","","","","",B4,"","","","","","","","","","",V3,"","","","","","","","","",B,B4,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B5,"",11,56,56,B5,OTHER,"",Part B5                           Cross-connection control 	102,Part B5                           Cross-connection control 	102,Part B5                           Cross-connection control 	102,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B5                           Cross-connection control 	102,Part B5                           Cross-connection control 	102,"","","","","","","",B5,"","","","","","","","","","",V3,"","","","","","","","","",B,B5,true
ncc2022,Vol3,"","",NCC2022-volume-three.docx,Vol3,VOL3::B6,"",12,57,57,B6,OTHER,"",Part B6                           Rainwater services 	108,Part B6                           Rainwater services 	108,Part B6                           Rainwater services 	108,"",false,false,"","","","","","","","","","","","","",OBJECTIVE,INFORMATIVE,ALWAYS,"",Part B6                           Rainwater services 	108,Part B6                           Rainwater services 	108,"","","","","","","",B6,"","","","","","","","","","",V3,"","","","","","","","","",B,B6,true
